h1,h2,h3,color,value,year,
Europe,NOR 290,NOR-in,5,139.8262107,2020,
Europe,POL 680,POL-in,5,330.461,2020,
Europe,PRT 195,PRT-in,5,101.4602136,2020,
Europe,SVK 189,SVK-in,5,93.67888938,2020,
Europe,SWE 549,SWE-in,5,252.729771,2020,
Europe,TUR 456,TUR-in,5,245.754,2020,
Europe,UKR 145,UKR-in,5,71.714,2020,
Europe,AUT 555,AUT-out,6,281.8901429,2018,
Europe,BEL 1051,BEL-out,6,527.3902404,2018,
Europe,CHE 1271,CHE-out,6,662.6988584,2018,
Europe,CZE 404,CZE-out,6,203.6419922,2018,
Europe,DEU 3955,DEU-out,6,2166.153733,2018,
Europe,DNK 436,DNK-out,6,233.7658973,2018,
Europe,ESP 1112,ESP-out,6,576.3130856,2018,
Europe,FIN 255,FIN-out,6,126.4327699,2018,
Europe,FRA 2234,FRA-out,6,1132.651379,2018,
Europe,GBR 2432,GBR-out,6,1176.776208,2018,
Europe,GRC 184,GRC-out,6,89.09152626,2018,
Europe,HUN 297,HUN-out,6,148.9710916,2018,
Europe,IRL 1121,IRL-out,6,574.7531974,2018,
Europe,ITA 1426,ITA-out,6,749.4558176,2018,
Europe,LUX 943,LUX-out,6,473.1230356,2018,
Europe,NLD 2159,NLD-out,6,1132.652985,2018,
Europe,NOR 388,NOR-out,6,214.753986,2018,
Europe,POL 685,POL-out,6,339.358,2018,
Europe,PRT 237,PRT-out,6,116.6769668,2018,
Europe,SVK 211,SVK-out,6,105.1326108,2018,
Europe,SWE 601,SWE-out,6,312.2692344,2018,
Europe,TUR 510,TUR-out,6,243.667,2018,
Europe,UKR 152,UKR-out,6,71.052,2018,
Europe,AUT 545,AUT-out,6,279.0271253,2019,
Europe,BEL 1021,BEL-out,6,515.141556,2019,
Europe,CHE 1256,CHE-out,6,653.9177349,2019,
Europe,CZE 397,CZE-out,6,199.8416259,2019,
Europe,DEU 3813,DEU-out,6,2080.742999,2019,
Europe,DNK 437,DNK-out,6,236.1063213,2019,
Europe,ESP 1080,ESP-out,6,561.8581864,2019,
Europe,FIN 259,FIN-out,6,130.5854964,2019,
Europe,FRA 2186,FRA-out,6,1114.692333,2019,
Europe,GBR 2384,GBR-out,6,1170.50718,2019,
Europe,GRC 180,GRC-out,6,88.14780257,2019,
Europe,HUN 305,HUN-out,6,152.1829146,2019,
Europe,IRL 1289,IRL-out,6,624.1224455,2019,
Europe,ITA 1361,ITA-out,6,722.2179544,2019,
Europe,LUX 926,LUX-out,6,464.5501942,2019,
Europe,NLD 2019,NLD-out,6,1055.934265,2019,
Europe,NOR 361,NOR-out,6,189.9628981,2019,
Europe,POL 687,POL-out,6,345.807,2019,
Europe,PRT 232,PRT-out,6,113.8592695,2019,
Europe,SVK 205,SVK-out,6,101.3742655,2019,
Europe,SWE 593,SWE-out,6,316.3266873,2019,
Europe,TUR 498,TUR-out,6,251.272,2019,
Europe,UKR 164,UKR-out,6,76.851,2019,
Europe,AUT 477,AUT-out,6,244.6015542,2020,
Europe,BEL 955,BEL-out,6,483.9460016,2020,
Europe,CHE 1190,CHE-out,6,613.5902622,2020,
Europe,CZE 363,CZE-out,6,184.8813841,2020,
Europe,DEU 3482,DEU-out,6,1908.94639,2020,
Europe,DNK 416,DNK-out,6,225.4896564,2020,
Europe,ESP 888,ESP-out,6,457.3210665,2020,
Europe,FIN 233,FIN-out,6,119.4139147,2020,
Europe,FRA 1850,FRA-out,6,925.2775414,2020,
Europe,GBR 1941,GBR-out,6,951.7236235,2020,
Europe,GRC 145,GRC-out,6,66.19508885,2020,
Europe,HUN 285,HUN-out,6,141.9244456,2020,
Europe,IRL 1343,IRL-out,6,669.1742532,2020,
Europe,ITA 1163,ITA-out,6,628.3367054,2020,
Europe,LUX 926,LUX-out,6,464.5773542,2020,
Europe,NLD 1918,NLD-out,6,998.4909792,2020,
Europe,NOR 290,NOR-out,6,149.9185404,2020,
Europe,POL 680,POL-out,6,349.628,2020,
Europe,PRT 195,PRT-out,6,93.98948598,2020,
Europe,SVK 189,SVK-out,6,94.91466227,2020,
Europe,SWE 549,SWE-out,6,296.6884473,2020,
Europe,TUR 456,TUR-out,6,210.037,2020,
Europe,UKR 145,UKR-out,6,72.885,2020,
Pacific,AUS 782,AUS-in,7,405.5887174,2018,
Pacific,AUS 776,AUS-in,7,383.9827156,2019,
Pacific,AUS 654,AUS-in,7,308.1849817,2020,
Pacific,AUS 782,AUS-out,8,376.3326413,2018,
Pacific,AUS 776,AUS-out,8,392.3738263,2019,
Pacific,AUS 654,AUS-out,8,345.4598402,2020,
Others,Others 4183,Others-in,9,2228.371269,2018,
Others,Others 4088,Others-in,9,2186.995918,2019,
Others,Others 3210,Others-in,9,1752.457757,2020,
Others,Others 4183,Others-out,10,1954.436079,2018,
Others,Others 4088,Others-out,10,1901.36331,2019,
Others,Others 3210,Others-out,10,1457.307031,2020,
